TTY_Class,TTY_Description
AA,abbreviation
AA,attribute
AB,abbreviation
ACR,abbreviation
AC,preferred
AD,attribute
AM,abbreviation
AM,attribute
AS,attribute
AS,synonym
AT,attribute
AUN,synonym
BD,preferred
BN,preferred
BPCK,preferred
BR,preferred
CA2,abbreviation
CA3,abbreviation
CCN,synonym
CCS,synonym
CC,preferred
CDA,abbreviation
CDC,preferred
CDD,synonym
CDO,preferred
CD,preferred
CE,entry_term
CHN,synonym
CL,hierarchical
CMN,preferred
CN,preferred
CO,hierarchical
CPR,preferred
CP,preferred
CR,preferred
CSN,synonym
CS,abbreviation
CSY,preferred
CU,synonym
CV,preferred
CX,expanded
CX,preferred
DC10,preferred
DC9,preferred
DE,preferred
DEV,abbreviation
DFG,preferred
DF,preferred
DI,preferred
DN,synonym
DO,hierarchical
DP,preferred
DS,abbreviation
DSV,abbreviation
DT,other
EP,entry_term
EQ,synonym
ES,abbreviation
ES,entry_term
ETAL,entry_term
ETCF,entry_term
ETCLIN,entry_term
ET,entry_term
EX,entry_term
EX,expanded
FBD,synonym
FI,preferred
FN,preferred
FSY,synonym
GLP,preferred
GN,preferred
GO,preferred
GPCK,preferred
GT,entry_term
HC,hierarchical
HD,hierarchical
HGJKN1,hierarchical
HGJKN,hierarchical
HG,hierarchical
HS,abbreviation
HS,hierarchical
HTJKN1,hierarchical
HTJKN1,preferred
HTJKN,hierarchical
HTJKN,preferred
HTN,preferred
HT,hierarchical
HT,preferred
HX,expanded
HX,hierarchical
ID,abbreviation
ID,preferred
IN,preferred
IS,obsolete
IS,synonym
IT,entry_term
IVC,preferred
IV,preferred
LA,preferred
LC,preferred
LG,preferred
LLTJKN1,entry_term
LLTJKN,entry_term
LLT,entry_term
LN,preferred
LO,obsolete
LPDN,preferred
LPN,preferred
LS,expanded
LVDN,preferred
LV,synonym
MD,preferred
MH,preferred
MIN,preferred
MP,attribute
MS,preferred
MTH_ACR,abbreviation
MTH_CN,expanded
MTH_CN,preferred
MTH_ET,entry_term
MTH_FN,preferred
MTH_HG,hierarchical
MTH_HT,hierarchical
MTH_HX,hierarchical
MTH_IS,obsolete
MTH_IS,synonym
MTH_LLT,entry_term
MTH_LN,expanded
MTH_LN,preferred
MTH_LO,expanded
MTH_LO,obsolete
MTH_LO,synonym
MTH_OAF,obsolete
MTH_OAP,obsolete
MTH_OAP,preferred
MTH_OAS,obsolete
MTH_OAS,synonym
MTH_OET,entry_term
MTH_OET,obsolete
MTH_OF,obsolete
MTH_OL,entry_term
MTH_OL,obsolete
MTH_OPN,obsolete
MTH_OPN,preferred
MTH_OP,obsolete
MTH_OP,preferred
MTH_OS,hierarchical
MTH_PTGB,preferred
MTH_PTN,preferred
MTH_PT,expanded
MTH_PT,preferred
MTH_RXN_BD,preferred
MTH_RXN_CDC,preferred
MTH_RXN_CD,preferred
MTH_RXN_DP,preferred
MTH_SI,preferred
MTH_SMQ,preferred
MTH_SYGB,synonym
MTH_SY,synonym
MV,preferred
N1,synonym
NA,preferred
NM,preferred
NPT,synonym
NP,synonym
NS,abbreviation
NS,synonym
NX,expanded
NX,synonym
OAF,obsolete
OAM,abbreviation
OAM,attribute
OAM,obsolete
OAP,obsolete
OAS,obsolete
OA,abbreviation
OA,obsolete
OC,preferred
OET,entry_term
OET,obsolete
OF,obsolete
OLC,obsolete
OLG,obsolete
OLJKN1,entry_term
OLJKN1,obsolete
OLJKN,entry_term
OLJKN,obsolete
OL,entry_term
OL,obsolete
OM,attribute
OM,obsolete
ONP,obsolete
ONP,synonym
OOSN,obsolete
OPN,obsolete
OPN,preferred
OP,obsolete
OP,preferred
OR,preferred
OSJKN1,hierarchical
OSJKN,hierarchical
OSN,abbreviation
OSN,preferred
OS,hierarchical
PCE,entry_term
PCE,preferred
PC,preferred
PEP,entry_term
PEP,preferred
PHENO_ET,entry_term
PHENO,preferred
PIN,preferred
PM,synonym
PN,preferred
POS,preferred
PQ,attribute
PR,preferred
PSC,preferred
PSN,preferred
PS,abbreviation
PTAV,preferred
PTCS,preferred
PTGB,preferred
PTJKN1,preferred
PTJKN,preferred
PTN,preferred
PT,preferred
PXQ,attribute
PXQ,entry_term
PX,expanded
PX,preferred
QAB,abbreviation
QEV,abbreviation
QSV,abbreviation
RAB,abbreviation
RHT,hierarchical
RPT,preferred
RS,other
RSY,synonym
RT,other
RXN_IN,preferred
RXN_PT,preferred
SBDC,preferred
SBDF,preferred
SBDG,preferred
SBD,preferred
SB,other
SCALE,attribute
SCDC,preferred
SCDF,preferred
SCDG,preferred
SCD,preferred
SCN,preferred
SC,other
SD,preferred
SI,preferred
SMQ,preferred
SP,preferred
SSN,abbreviation
SS,abbreviation
SS,synonym
ST,preferred
SU,preferred
SX,expanded
SX,synonym
SYGB,synonym
SYN,synonym
SY,synonym
TA,preferred
TC,hierarchical
TG,preferred
TMSY,synonym
TQ,attribute
TQ,preferred
TX,hierarchical
UAUN,synonym
UCN,preferred
UE,synonym
USN,preferred
USY,synonym
VAB,abbreviation
VPT,preferred
VS,preferred
VSY,synonym
XD,expanded
XD,preferred
XM,other
XQ,attribute
XQ,synonym
